Reaction: Nephrogenic systemic fibrosis | Outcome: 5
Reaction: Cardiac failure | Outcome: 5
Reaction: Myelodysplastic syndrome | Outcome: 5
Reaction: Arthritis | Outcome: 6
Reaction: Joint swelling | Outcome: 6
Reaction: Blood count abnormal | Outcome: 6
Reaction: Asthenia | Outcome: 3
Reaction: Malaise | Outcome: 3
Reaction: Upper respiratory tract infection | Outcome: 1
Reaction: Thrombocytopenia | Outcome: 1
Reaction: Anaemia | Outcome: 1
Reaction: Influenza like illness | Outcome: 1
Reaction: Pyrexia | Outcome: 1
Reaction: Atrial flutter | Outcome: 3
Reaction: Atrioventricular block second degree | Outcome: 3
Reaction: Superficial spreading melanoma stage unspecified | Outcome: 1
Reaction: Nephrogenic systemic fibrosis | Outcome: 3
Reaction: Listeriosis | Outcome: 5
Reaction: Loss of consciousness | Outcome: 6
Reaction: Drug reaction with eosinophilia and systemic symptoms | Outcome: 1
Reaction: Atrial fibrillation | Outcome: 6
Reaction: Rib fracture | Outcome: 6
Reaction: Neuropathy peripheral | Outcome: 6
Reaction: Shoulder deformity | Outcome: 6
Reaction: Intervertebral disc protrusion | Outcome: 6
Reaction: Chest pain | Outcome: 6
Reaction: Metastases to bone | Outcome: 6
Reaction: Osteomyelitis | Outcome: 6
Reaction: Nausea | Outcome: 6
Reaction: Hepatosplenomegaly | Outcome: 6
Reaction: Diverticulitis | Outcome: 6
Reaction: Hypothyroidism | Outcome: 6
Reaction: Peritonitis | Outcome: 6
Reaction: Mitral valve incompetence | Outcome: 6
Reaction: Upper respiratory tract infection | Outcome: 6
Reaction: Cardiac failure congestive | Outcome: 6
Reaction: Renal atrophy | Outcome: 6
Reaction: Haemorrhage intracranial | Outcome: 6
Reaction: Shock | Outcome: 6
Reaction: Paraesthesia | Outcome: 6
Reaction: Vertebral osteophyte | Outcome: 6
Reaction: Kyphosis | Outcome: 6
Reaction: Ventricular hypokinesia | Outcome: 6
Reaction: Syncope | Outcome: 6
Reaction: Lung infiltration | Outcome: 6
Reaction: Spinal compression fracture | Outcome: 6
Reaction: Toothache | Outcome: 6
Reaction: Limb injury | Outcome: 6
